0	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
33	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
34	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[7]	
35	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[7]	
36	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[7]	
37	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[7]	[]	[]	[]	
38	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[7]	[]	[]	[]	
39	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[7]	[]	[]	[]	
40	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
41	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
42	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
43	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
44	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
